Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Pescadero,San Mateo,1046,259.8,"$24,750 ","$61,161 ","$57,656 "
Petaluma,Sonoma,58912,4096.2,"$35,239 ","$80,590 ","$89,400 "
Peters,San Joaquin,523,207,"$56,941 ","$116,616 ","$117,195 "
Phelan,San Bernardino,12947,215.4,"$22,355 ","$53,093 ","$59,804 "
Phillipsville,Humboldt,77,107.7,"$27,396 ","$23,860 ",[7]
Philo,Mendocino,317,155.6,"$11,234 ","$16,667 ","$29,333 "
Phoenix Lake,Tuolumne,4712,427.9,"$34,735 ","$75,434 ","$92,652 "
Pico Rivera,Los Angeles,63698,7678.2,"$18,643 ","$56,576 ","$62,987 "
Piedmont,Alameda,10957,6445.3,"$101,794 ","$212,222 ","$247,171 "
Pierpoint,Tulare,23,56.4,[7],[7],[7]
Pike,Sierra,126,29.2,"$23,885 ","$35,714 ","$35,000 "
Pine Canyon,Monterey,2243,672.4,"$26,633 ","$46,683 ","$47,043 "
Pine Flat,Tulare,130,111.9,"$26,923 ","$30,625 ","$62,143 "
Pine Grove,Amador,1865,267.7,"$30,314 ","$48,571 ","$64,375 "
Pine Hills,Humboldt,3160,312.3,"$32,080 ","$52,438 ","$56,406 "
Pine Mountain Club,Kern,1890,112.1,"$34,312 ","$45,911 ","$57,872 "
Pine Mountain Lake,Tuolumne,2422,127.7,"$31,321 ","$51,604 ","$59,848 "
Pine Valley,San Diego,1554,217.3,"$35,479 ","$100,085 ","$100,557 "
Pinole,Contra Costa,18754,3641.6,"$34,219 ","$74,379 ","$82,679 "
Piñon Hills,San Bernardino,6654,207.2,"$25,501 ","$42,210 ","$57,723 "
Pioneer,Amador,1237,287.3,"$35,596 ","$42,614 ","$75,104 "
Piru,Ventura,2078,736.9,"$17,001 ","$46,601 ","$47,281 "
Pismo Beach,San Luis Obispo,7789,2164.2,"$37,657 ","$67,500 ","$88,041 "
Pittsburg,Contra Costa,65761,3826,"$23,330 ","$60,376 ","$64,521 "
Pixley,Tulare,3769,1210.3,"$9,889 ","$28,179 ","$29,702 "
Placentia,Orange,51860,7840.9,"$30,218 ","$79,275 ","$87,403 "
Placerville,El Dorado,10415,1792,"$24,801 ","$46,199 ","$59,158 "
Plainview,Tulare,858,2776.7,"$6,873 ","$25,938 ","$26,042 "
Planada,Merced,4465,2831.3,"$13,072 ","$35,690 ","$36,056 "
Pleasant Hill,Contra Costa,33842,4782.6,"$43,580 ","$81,556 ","$108,900 "
Pleasanton,Alameda,73164,2995.2,"$50,972 ","$123,608 ","$140,311 "
Pleasure Point,Santa Cruz,6004,7973.4,"$38,471 ","$57,462 ","$60,078 "
Plumas Eureka,Plumas,265,66.7,"$56,948 ","$63,611 ","$63,472 "
Plumas Lake,Yuba,6380,760.9,"$24,080 ","$78,333 ","$75,400 "
Plymouth,Amador,1185,1272.8,"$20,681 ","$44,531 ","$56,042 "
Point Arena,Mendocino,405,300,"$18,534 ","$30,000 ","$47,500 "
Point Reyes Station,Marin,848,234.5,"$39,984 ","$36,597 ","$88,098 "
Pollock Pines,El Dorado,6540,824.9,"$31,164 ","$49,044 ","$57,396 "
Pomona,Los Angeles,151142,6585.1,"$17,041 ","$48,993 ","$50,475 "
Ponderosa,Tulare,100,123,"$61,992 ",[7],[7]
Poplar-Cotton Center,Tulare,2764,2154.3,"$9,980 ","$21,434 ","$21,500 "
Port Costa,Contra Costa,302,1911.4,"$54,767 ","$94,018 ","$88,859 "
Porterville,Tulare,54949,3120.7,"$17,330 ","$41,267 ","$43,657 "
Port Hueneme,Ventura,21949,4931.3,"$22,352 ","$52,826 ","$54,966 "
Portola,Plumas,2710,501.2,"$21,747 ","$34,134 ","$36,375 "
Portola Valley,San Mateo,4478,492.2,"$152,128 ","$182,381 ",[7]
Posey,Tulare,8,22.4,"$15,638 ",[7],[7]
Poso Park,Tulare,4,90.9,[7],[7],[7]
Potrero,San Diego,693,220.1,"$12,354 ","$29,554 ","$37,878 "
Potter Valley,Mendocino,509,126.3,"$24,767 ","$64,500 ","$91,442 "
Poway,San Diego,49040,1254.9,"$40,681 ","$96,315 ","$109,110 "
Prattville,Plumas,12,19.9,[7],[7],[7]
Princeton,Colusa,232,126.4,"$29,977 ","$63,929 ","$75,938 "
Proberta,Tehama,280,195.7,"$24,271 ","$34,477 ","$33,727 "
Prunedale,Monterey,18574,403.3,"$29,138 ","$72,933 ","$79,802 "
Quartz Hill,Los Angeles,11002,2923.7,"$24,681 ","$53,929 ","$61,990 "
Quincy,Plumas,1439,340.8,"$27,394 ","$46,875 ","$67,708 "
Rackerby,Butte,139,47.1,"$25,837 ","$48,125 ","$53,750 "
Rail Road Flat,Calaveras,369,11.2,"$20,788 ","$29,922 ","$34,145 "
Rainbow,San Diego,1678,152,"$30,720 ","$54,408 ","$76,250 "
Raisin City,Fresno,232,305.3,"$10,661 ","$18,750 ","$12,143 "
Ramona,San Diego,21578,561.8,"$24,863 ","$62,919 ","$69,171 "
Rancho Calaveras,Calaveras,5736,684.8,"$24,281 ","$56,607 ","$62,371 "
Rancho Cordova,Sacramento,67167,1927.2,"$24,462 ","$53,563 ","$58,979 "
Rancho Cucamonga,San Bernardino,170170,4268.8,"$31,528 ","$77,061 ","$88,529 "
Rancho Mirage,Riverside,17634,720.8,"$62,814 ","$71,688 ","$99,677 "
Rancho Murieta,Sacramento,5804,488.3,"$53,085 ","$103,750 ","$116,284 "
Rancho Palos Verdes,Los Angeles,42282,3140.1,"$57,201 ","$120,697 ","$137,506 "
Rancho San Diego,San Diego,21514,2472.6,"$38,339 ","$80,591 ","$92,779 "
Rancho Santa Fe,San Diego,2838,422.6,"$68,119 ","$101,250 ","$132,054 "
Rancho Santa Margarita,Orange,48758,3780.6,"$42,768 ","$104,952 ","$120,863 "
Rancho Tehama Reserve,Tehama,2300,197.6,"$14,720 ","$26,046 ","$23,787 "
Randsburg,Kern,128,67.2,"$27,320 ","$26,813 ",[7]
Red Bluff,Tehama,14069,1860.2,"$16,505 ","$32,393 ","$37,926 "
Red Corral,Amador,1601,274,"$23,210 ","$30,431 ","$65,469 "
Redcrest,Humboldt,52,87,"$17,604 ","$28,750 ","$21,875 "
Redding,Shasta,90725,1521,"$23,893 ","$43,773 ","$56,506 "
Redlands,San Bernardino,69787,1936.9,"$31,745 ","$67,112 ","$85,484 "
Redondo Beach,Los Angeles,67511,10892.4,"$52,775 ","$103,064 ","$123,561 "
Redway,Humboldt,1132,904.9,"$19,209 ","$37,882 ","$50,758 "
Redwood City,San Mateo,79736,4099.1,"$42,063 ","$81,955 ","$98,149 "
Redwood Valley,Mendocino,1814,663,"$22,656 ","$78,340 ","$72,577 "
Reedley,Fresno,24858,4839,"$16,966 ","$46,002 ","$45,891 "
Reliez Valley,Contra Costa,3677,1558.7,"$77,832 ","$126,458 ","$131,161 "
Rialto,San Bernardino,101367,4536.9,"$16,206 ","$50,277 ","$52,595 "
Richfield,Tehama,278,496.4,"$25,302 ","$42,500 ","$46,000 "
Richgrove,Tulare,3006,6650.4,"$8,827 ","$29,792 ","$29,750 "
Richmond,Contra Costa,106469,3542.8,"$25,769 ","$54,857 ","$59,976 "
Richvale,Butte,86,92.8,"$131,735 ","$77,734 ",[7]
Ridgecrest,Kern,28282,1361.9,"$27,954 ","$61,480 ","$70,645 "
Ridgemark,San Benito,3471,1350.6,"$44,974 ","$100,690 ","$117,672 "
Rio Dell,Humboldt,3373,1478.7,"$25,645 ","$39,692 ","$40,733 "
Rio del Mar,Santa Cruz,9240,3080,"$53,990 ","$95,938 ","$125,740 "
Rio Linda,Sacramento,14581,1470,"$21,131 ","$50,873 ","$55,063 "
Rio Oso,Sutter,428,65.6,"$32,343 ","$66,250 ","$90,500 "
Rio Vista,Solano,7646,1152.2,"$33,919 ","$62,616 ","$70,045 "
Ripley,Riverside,659,387.4,"$10,612 ","$16,522 ","$17,917 "
Ripon,San Joaquin,14645,2760.6,"$32,213 ","$75,420 ","$88,176 "
Riverbank,Stanislaus,23310,5696.5,"$20,646 ","$59,183 ","$62,366 "
Riverdale,Fresno,3881,988.8,"$12,580 ","$48,350 ","$44,356 "
Riverdale Park,Stanislaus,922,641.6,"$9,263 ","$26,838 ","$25,392 "
River Pines,Amador,309,844.3,"$12,511 ","$48,285 ",[7]
Riverside,Riverside,313041,3856.2,"$22,212 ","$56,089 ","$63,418 "
Robbins,Sutter,355,136.9,"$19,788 ","$38,158 ","$42,750 "
Robinson Mill,Butte,0,0,[7],[7],[7]
Rocklin,Placer,59002,3018.8,"$35,200 ","$79,274 ","$91,946 "
Rodeo,Contra Costa,9648,2575.5,"$27,318 ","$68,701 ","$78,949 "
Rodriguez Camp,Tulare,192,730,"$4,581 ","$27,596 ","$28,365 "
Rohnert Park,Sonoma,41352,5904.9,"$27,021 ","$57,557 ","$71,590 "
Rolling Hills,Los Angeles,1689,564.7,"$117,241 ","$218,583 ","$227,250 "
Rolling Hills,Madera,921,1555.7,"$37,133 ","$100,774 ","$114,107 "
Rolling Hills Estates,Los Angeles,8184,2293.1,"$66,681 ","$136,477 ","$154,043 "
Rollingwood,Contra Costa,2832,16658.8,"$14,782 ","$48,974 ","$51,250 "
Romoland,Riverside,1682,636.2,"$16,795 ","$61,232 ","$60,540 "
Rosamond,Kern,18658,358,"$21,792 ","$59,099 ","$61,613 "
Rosedale,Kern,14826,502.2,"$42,818 ","$111,273 ","$121,866 "
Rose Hills,Los Angeles,3260,7426,"$44,614 ","$94,764 ","$108,438 "
Roseland,Sonoma,5556,5885.6,"$20,167 ","$53,364 ","$55,677 "
Rosemead,Los Angeles,54457,10549.6,"$17,129 ","$44,524 ","$44,868 "
Rosemont,Sacramento,22824,5249.3,"$24,417 ","$54,384 ","$59,959 "
Roseville,Placer,124250,2943.5,"$34,514 ","$76,712 ","$94,461 "
Ross,Marin,2227,1431.2,"$95,706 ","$186,477 ","$200,833 "
Rossmoor,Orange,10816,7009.7,"$52,267 ","$114,239 ","$135,833 "
Rough and Ready,Nevada,1195,376.6,"$22,190 ","$42,268 ","$75,978 "
Round Mountain,Shasta,126,75.1,"$28,929 ","$22,115 ","$34,688 "
Round Valley,Inyo,436,31.6,"$21,687 ","$45,833 ","$55,625 "
Rouse,Stanislaus,1757,7382.4,"$9,395 ","$23,618 ","$23,026 "
Rowland Heights,Los Angeles,51597,3946.2,"$25,845 ","$61,375 ","$64,678 "
Running Springs,San Bernardino,4833,1149.6,"$28,253 ","$69,412 ","$80,905 "
Ruth,Trinity,164,4.2,"$19,787 ","$24,028 ","$76,250 "
Rutherford,Napa,219,130.4,"$35,604 ","$62,024 ","$102,222 "
Sacramento,Sacramento,476075,4861.7,"$26,060 ","$50,013 ","$57,200 "
St. Helena,Napa,5895,1182.1,"$47,794 ","$78,421 ","$95,000 "
Salida,Stanislaus,14509,2694.3,"$22,428 ","$72,872 ","$80,594 "
Salinas,Monterey,154077,6525.9,"$17,810 ","$49,728 ","$51,426 "
Salmon Creek,Sonoma,59,53,"$34,354 ","$34,783 ",[7]
Salton City,Imperial,3867,180.4,"$16,319 ","$33,906 ","$35,320 "
Salton Sea Beach,Imperial,757,2515,"$13,722 ","$19,934 ","$26,944 "
Samoa,Humboldt,305,364.4,"$23,614 ","$52,778 ","$49,464 "
San Andreas,Calaveras,2829,337.7,"$22,518 ","$40,613 ","$50,500 "
San Anselmo,Marin,12527,4679.5,"$56,821 ","$100,681 ","$122,857 "
San Antonio Heights,San Bernardino,3097,1260,"$57,021 ","$95,250 ","$109,766 "
San Ardo,Monterey,647,1441,"$12,899 ","$42,333 ","$50,438 "
San Bernardino,San Bernardino,213044,3463.7,"$14,759 ","$38,774 ","$40,305 "
San Bruno,San Mateo,42090,7707.4,"$35,866 ","$81,420 ","$89,805 "
San Buenaventura (Ventura),Ventura,108449,4971.1,"$33,180 ","$66,485 ","$81,446 "
San Carlos,San Mateo,29166,5278,"$62,548 ","$125,747 ","$158,853 "
San Clemente,Orange,64673,3523.3,"$48,063 ","$91,749 ","$113,018 "
Sand City,Monterey,355,631.7,"$25,884 ","$34,659 ","$34,750 "
San Diego,San Diego,1341510,4125.3,"$33,789 ","$65,753 ","$78,414 "
San Diego Country Estates,San Diego,10191,604.8,"$36,448 ","$100,849 ","$103,806 "
San Dimas,Los Angeles,33896,2254.2,"$35,345 ","$78,911 ","$92,140 "
San Fernando,Los Angeles,24050,10130.6,"$17,766 ","$55,044 ","$56,482 "
San Francisco,San Francisco,829072,17680.1,"$49,986 ","$78,378 ","$93,391 "
San Gabriel,Los Angeles,40173,9691.9,"$25,047 ","$56,238 ","$62,144 "
Sanger,Fresno,24587,4298.4,"$16,620 ","$42,094 ","$50,206 "
San Geronimo,Marin,369,244.7,"$52,139 ","$79,485 ","$89,107 "
San Jacinto,Riverside,45497,1769.1,"$17,350 ","$46,714 ","$52,111 "
San Joaquin,Fresno,4010,3350,"$7,519 ","$25,545 ","$24,583 "
San Jose,Santa Clara,986320,5586,"$34,992 ","$83,787 ","$92,379 "
San Juan Bautista,San Benito,2219,3121,"$26,097 ","$57,717 ","$59,321 "
San Juan Capistrano,Orange,35562,2498.2,"$37,917 ","$72,568 ","$82,399 "
San Leandro,Alameda,87159,6530.2,"$29,442 ","$64,279 ","$76,781 "
San Lorenzo,Alameda,24563,8873.9,"$26,755 ","$74,283 ","$80,149 "
San Lucas,Monterey,243,616.8,"$13,289 ","$45,417 ","$51,250 "
San Luis Obispo,San Luis Obispo,45911,3496.6,"$26,377 ","$44,894 ","$78,641 "
San Marcos,San Diego,87808,3603.9,"$24,789 ","$56,139 ","$63,866 "
San Marino,Los Angeles,13294,3529.1,"$72,861 ","$119,300 ","$154,050 "
San Martin,Santa Clara,7081,610.7,"$40,075 ","$107,966 ","$121,154 "
San Mateo,San Mateo,100114,8253.4,"$46,782 ","$90,087 ","$106,876 "
San Miguel,Contra Costa,3355,3195.2,"$57,644 ","$136,346 ","$157,768 "
San Miguel,San Luis Obispo,2638,1571.2,"$19,793 ","$47,875 ","$42,692 "
San Pablo,Contra Costa,29516,11222.8,"$16,874 ","$42,746 ","$47,666 "
San Pasqual,Los Angeles,2143,8403.9,"$56,601 ","$103,409 ","$110,833 "
San Rafael,Marin,58588,3536.4,"$46,075 ","$75,668 ","$96,660 "
San Ramon,Contra Costa,73826,3971.1,"$51,569 ","$129,062 ","$151,494 "
San Simeon,San Luis Obispo,477,598.5,"$18,990 ","$33,889 ","$53,796 "
Santa Ana,Orange,331266,12203.1,"$16,345 ","$52,519 ","$50,505 "
Santa Barbara,Santa Barbara,89669,4600.8,"$37,692 ","$65,916 ","$82,769 "
Santa Clara,Santa Clara,119525,6492.7,"$41,222 ","$93,840 ","$109,672 "
Santa Clarita,Los Angeles,179030,3395.2,"$33,879 ","$83,178 ","$90,819 "
Santa Cruz,Santa Cruz,62045,4870.1,"$29,177 ","$61,533 ","$79,431 "
Santa Fe Springs,Los Angeles,16859,1900.2,"$20,761 ","$51,786 ","$63,333 "
Santa Margarita,San Luis Obispo,1231,2381,"$28,335 ","$51,453 ","$65,104 "
Santa Maria,Santa Barbara,101468,4454.3,"$18,509 ","$50,753 ","$52,515 "
Santa Monica,Los Angeles,91619,10887.6,"$58,252 ","$74,534 ","$113,956 "
Santa Nella,Merced,1164,255.3,"$19,860 ","$30,000 ","$43,281 "
Santa Paula,Ventura,29990,6529.5,"$20,303 ","$53,692 ","$58,110 "
Santa Rosa,Sonoma,170782,4136,"$29,890 ","$60,758 ","$69,921 "
Santa Rosa Valley,Ventura,3422,494.4,"$67,083 ","$162,639 ","$175,466 "
Santa Susana,Ventura,989,888.6,"$35,603 ","$87,386 ","$100,750 "
Santa Venetia,Marin,5017,1370.4,"$34,564 ","$81,583 ","$98,939 "
Santa Ynez,Santa Barbara,4909,955.8,"$43,990 ","$97,911 ","$99,519 "
Santee,San Diego,55435,3415.6,"$30,531 ","$74,213 ","$86,397 "
Saranap,Contra Costa,5591,4930.3,"$49,107 ","$102,054 ","$131,675 "
Saratoga,Santa Clara,30627,2454.3,"$77,667 ","$167,917 ","$197,332 "
Saticoy,Ventura,1212,3258.1,"$11,926 ","$35,926 ","$33,207 "
Sattley,Sierra,74,36.2,"$49,272 ",[7],[7]
Sausalito,Marin,7043,3976.8,"$89,751 ","$111,702 ","$180,898 "
Scotia,Humboldt,864,1158.2,"$23,080 ","$54,605 ","$54,028 "
Scotts Valley,Santa Cruz,11711,2535.9,"$44,459 ","$102,927 ","$115,324 "
Seacliff,Santa Cruz,3373,4397.7,"$33,424 ","$61,437 ","$68,271 "
Seal Beach,Orange,24477,2166.7,"$46,617 ","$54,026 ","$92,352 "
Sea Ranch,Sonoma,983,60.9,"$46,759 ","$59,375 ","$77,885 "
Searles Valley,San Bernardino,1597,152.2,"$22,999 ","$30,478 ","$46,023 "
Seaside,Monterey,33729,3650.3,"$21,548 ","$52,538 ","$53,926 "
Sebastopol,Sonoma,7535,4051.1,"$35,094 ","$52,326 ","$67,782 "
Seeley,Imperial,1214,1001.7,"$13,570 ","$26,761 ","$42,708 "
Selma,Fresno,23808,4633.7,"$15,292 ","$43,143 ","$44,226 "
Sequoia Crest,Tulare,26,25.4,[7],[7],[7]
Sereno del Mar,Sonoma,51,69.2,"$71,720 ","$123,611 ",[7]
Seville,Tulare,437,687.1,"$9,214 ","$34,219 ","$32,813 "
Shafter,Kern,17261,617.7,"$14,563 ","$41,107 ","$41,663 "
Shandon,San Luis Obispo,1323,448.5,"$22,883 ","$59,236 ","$57,639 "
Shasta,Shasta,1814,165.2,"$31,400 ","$61,042 ","$72,400 "
Shasta Lake,Shasta,10143,928.8,"$20,337 ","$40,295 ","$50,343 "
Shaver Lake,Fresno,735,22.8,"$41,103 ","$80,481 ","$97,188 "
Shell Ridge,Contra Costa,1139,2648.8,"$54,179 ","$120,163 ","$121,630 "
Shelter Cove,Humboldt,516,88.5,"$50,193 ","$23,480 ","$24,459 "
Sheridan,Placer,1465,56.3,"$18,223 ","$47,719 ","$59,712 "
Shingle Springs,El Dorado,4562,555.7,"$35,567 ","$82,788 ","$82,740 "
Shingletown,Shasta,2241,90.9,"$23,742 ","$50,491 ","$58,856 "
Shoshone,Inyo,22,0.8,"$40,018 ",[7],[7]
Sierra Brooks,Sierra,418,305.1,"$27,876 ","$41,250 ","$70,417 "
Sierra City,Sierra,263,122.3,"$64,830 ","$123,846 ","$148,000 "
Sierra Madre,Los Angeles,11060,3745.3,"$48,923 ","$90,780 ","$111,389 "
Sierra Village,Tuolumne,612,242.4,"$24,564 ","$50,024 ","$52,091 "
Sierraville,Sierra,133,26.5,"$14,649 ","$32,500 ",[7]
Signal Hill,Los Angeles,11245,5167.7,"$30,387 ","$67,320 ","$65,851 "
Silverado Resort,Napa,1074,568,"$89,910 ","$161,739 ","$168,869 "
Silver City,Tulare,0,0,[7],[7],[7]
Silver Lakes,San Bernardino,5706,1102.8,"$26,377 ","$66,703 ","$77,791 "
Simi Valley,Ventura,125699,3030.6,"$37,279 ","$89,595 ","$98,394 "
Sisquoc,Santa Barbara,276,123.8,"$16,611 ","$43,750 ","$62,500 "
Sky Valley,Riverside,2493,102.5,"$21,593 ","$34,107 ","$50,391 "
Sleepy Hollow,Marin,2584,865.1,"$88,551 ","$189,688 ","$220,750 "
Smartsville,Yuba,143,199.4,"$19,583 ","$26,100 ","$27,400 "
Smith Corner,Kern,661,3004.5,"$9,508 ","$36,063 ","$36,438 "
Smith River,Del Norte,871,219.4,"$15,985 ","$32,426 ","$34,583 "
Snelling,Merced,116,214.8,"$24,639 ","$38,333 ","$70,750 "
Soda Bay,Lake,1369,1065.4,"$32,831 ","$57,450 ","$56,716 "
Soda Springs,Nevada,80,237.4,"$22,734 ","$28,917 ",[7]
Solana Beach,San Diego,13146,3734.7,"$59,225 ","$90,579 ","$112,217 "
Soledad,Monterey,26008,5892.2,"$9,701 ","$46,010 ","$46,651 "
Solvang,Santa Barbara,5345,2204.1,"$39,334 ","$66,511 ","$77,159 "
Sonoma,Sonoma,10818,3942.4,"$45,197 ","$66,951 ","$96,064 "
Sonora,Tuolumne,4844,1531.5,"$25,174 ","$32,985 ","$46,597 "
Soquel,Santa Cruz,10275,2234.7,"$36,612 ","$78,703 ","$95,208 "
Soulsbyville,Tuolumne,2020,671.1,"$28,916 ","$74,250 ","$74,864 "
South Dos Palos,Merced,2464,1605.2,"$12,459 ","$44,180 ","$50,865 "
South El Monte,Los Angeles,20375,7166.7,"$14,926 ","$44,498 ","$47,702 "
South Gate,Los Angeles,95515,13200,"$14,256 ","$43,526 ","$44,947 "
South Lake Tahoe,El Dorado,21394,2106.1,"$23,865 ","$41,380 ","$52,885 "
South Monrovia Island,Los Angeles,6929,12644.2,"$17,824 ","$57,012 ","$57,329 "
South Oroville,Butte,6058,2065.5,"$10,946 ","$33,605 ","$33,978 "
South Pasadena,Los Angeles,25914,7610.6,"$46,649 ","$80,479 ","$107,015 "
South San Francisco,San Mateo,65537,7140.7,"$32,269 ","$78,101 ","$89,186 "
South San Gabriel,Los Angeles,8281,9941.2,"$23,693 ","$66,958 ","$72,007 "
South San Jose Hills,Los Angeles,21012,13933.7,"$14,020 ","$58,154 ","$56,408 "
South Taft,Kern,1680,1561.3,"$13,453 ","$39,784 ","$40,365 "
South Whittier,Los Angeles,58328,10929,"$20,659 ","$64,112 ","$65,778 "
Spaulding,Lassen,197,59.2,"$26,594 ","$54,722 ","$64,643 "
Spreckels,Monterey,939,7696.7,"$29,268 ","$80,288 ","$97,083 "
Spring Garden,Plumas,0,0,[7],[7],[7]
Spring Valley,Lake,1000,202.6,"$17,196 ","$27,404 ","$31,354 "
Spring Valley,San Diego,29841,4165.4,"$26,104 ","$64,517 ","$68,285 "
Spring Valley Lake,San Bernardino,7816,2631.6,"$26,121 ","$59,040 ","$73,575 "
Springville,Tulare,502,120,"$24,696 ","$35,038 ","$60,625 "
Squaw Valley,Fresno,2450,43.3,"$24,659 ","$63,629 ","$68,948 "
Squirrel Mountain Valley,Kern,372,521.7,"$39,483 ","$42,596 ","$43,990 "
Stallion Springs,Kern,2983,181.6,"$32,696 ","$55,903 ","$63,306 "
Stanford,Santa Clara,13506,4945.4,"$30,200 ","$51,622 ","$173,750 "
Stanton,Orange,38455,12416.9,"$18,870 ","$45,842 ","$47,509 "
Stevenson Ranch,Los Angeles,18832,2962.4,"$47,057 ","$114,555 ","$125,459 "
Stevinson,Merced,171,151.3,"$26,693 ","$52,250 ","$72,917 "
Stinson Beach,Marin,425,294.9,"$60,870 ","$108,571 ","$123,309 "
Stirling City,Butte,154,130.8,"$31,496 ","$97,792 ","$97,792 "
Stockton,San Joaquin,297223,4819.8,"$19,927 ","$45,347 ","$50,166 "
Stonyford,Colusa,283,97.7,"$19,104 ","$50,833 ","$58,750 "
Storrie,Plumas,0,0,[7],[7],[7]
Stratford,Kings,1301,1904.8,"$9,288 ","$23,750 ","$21,579 "
Strathmore,Tulare,3626,2578.9,"$9,913 ","$26,250 ","$22,398 "
Strawberry,Marin,5684,4312.6,"$65,102 ","$87,870 ","$103,676 "
Strawberry,Tuolumne,228,437.6,"$16,877 ",[7],[7]
Sugarloaf Mountain Park,Tulare,0,0,[7],[7],[7]
Sugarloaf Saw Mill,Tulare,0,0,[7],[7],[7]
Sugarloaf Village,Tulare,9,134.3,"$27,122 ","$21,250 ",[7]
Suisun City,Solano,28627,6973.7,"$25,809 ","$71,306 ","$76,051 "
Sultana,Tulare,813,1831.1,"$9,019 ","$24,282 ","$24,176 "
Summerland,Santa Barbara,1575,794.3,"$65,173 ","$89,050 ","$106,763 "
Sunnyside,Fresno,4159,2158.3,"$31,299 ","$63,222 ","$65,323 "
Sunnyside-Tahoe City,Placer,1845,545.9,"$33,019 ","$69,330 ","$93,000 "
Sunny Slopes,Mono,137,72.7,"$69,329 ","$135,438 ",[7]
Sunnyvale,Santa Clara,145921,6637.9,"$48,203 ","$103,257 ","$117,982 "
Sunol,Alameda,956,34.4,"$51,704 ","$82,750 ","$96,071 "
Sun Village,Los Angeles,11613,1087.5,"$17,065 ","$57,840 ","$59,753 "
Susanville,Lassen,16537,2081.4,"$15,350 ","$49,430 ","$69,871 "
Sutter,Sutter,2959,974.6,"$29,639 ","$64,671 ","$64,833 "
Sutter Creek,Amador,2271,865.8,"$30,601 ","$41,071 ","$70,250 "
Swall Meadows,Mono,259,58,"$35,984 ","$72,083 ","$81,563 "
Taft,Kern,9063,593.8,"$19,016 ","$50,991 ","$56,886 "
Taft Heights,Kern,2612,8824.3,"$19,555 ","$54,505 ","$53,302 "
Taft Mosswood,San Joaquin,1398,2955.6,"$11,291 ","$31,829 ","$33,400 "
Tahoe Vista,Placer,1332,490.4,"$27,463 ","$53,068 ","$59,676 "
Tahoma,El DoradoPlacer,959,369.7,"$32,244 ","$50,568 ","$53,438 "
Talmage,Mendocino,1335,839.6,"$20,095 ","$69,853 ","$81,944 "
Tamalpais-Homestead Valley,Marin,10331,2205.1,"$70,073 ","$138,598 ","$162,628 "
Tara Hills,Contra Costa,4767,7168.4,"$23,890 ","$57,708 ","$62,143 "
Tarpey Village,Fresno,3246,4032.3,"$21,394 ","$58,641 ","$71,833 "
Taylorsville,Plumas,185,57,"$56,136 ","$76,176 ",[7]
Tecopa,Inyo,115,6.2,"$11,688 ","$12,000 ","$20,714 "
Tehachapi,Kern,13818,1399.3,"$16,613 ","$42,654 ","$57,389 "
Tehama,Tehama,397,500,"$22,452 ","$47,679 ","$49,286 "
Temecula,Riverside,104955,2820.5,"$28,630 ","$78,535 ","$86,773 "
Temelec,Sonoma,1505,947.7,"$65,456 ","$40,000 ","$66,304 "
Temescal Valley,Riverside,24714,1282.1,"$34,390 ","$89,259 ","$96,162 "
Temple City,Los Angeles,36006,8988,"$27,403 ","$63,803 ","$73,210 "
Templeton,San Luis Obispo,7753,987.4,"$33,281 ","$72,854 ","$88,650 "
Tennant,Siskiyou,115,473.3,"$10,137 ","$14,934 ","$15,865 "
Terminous,San Joaquin,409,418.6,"$47,117 ","$53,636 ","$65,865 "
Terra Bella,Tulare,2912,1070.2,"$7,919 ","$24,489 ","$25,352 "
Teviston,Tulare,1823,839.7,"$8,812 ","$24,267 ","$22,850 "
Thermal,Riverside,3570,377.7,"$10,647 ","$26,344 ","$23,481 "
Thermalito,Butte,6911,544,"$14,509 ","$35,156 ","$35,958 "
Thornton,San Joaquin,748,350.7,"$14,204 ","$33,500 ","$33,646 "
Thousand Oaks,Ventura,128126,2321.8,"$46,231 ","$99,115 ","$116,599 "
Thousand Palms,Riverside,7956,336.6,"$20,191 ","$43,813 ","$45,830 "
Three Rivers,Tulare,2278,51.2,"$33,420 ","$43,913 ","$67,125 "
Three Rocks,Fresno,51,68,"$8,131 ",[7],[7]
Tiburon,Marin,9100,2046.8,"$99,710 ","$130,661 ","$170,915 "
Timber Cove,Sonoma,132,23.4,"$37,758 ","$34,554 ","$64,375 "
Tipton,Tulare,2327,2304,"$9,892 ","$32,239 ","$32,716 "
Tobin,Plumas,12,2.4,[7],[7],[7]
Tomales,Marin,155,466.9,"$38,493 ","$38,480 ",[7]
Tonyville,Tulare,764,15280,"$16,311 ","$49,934 ","$49,934 "
Tooleville,Tulare,387,5776.1,"$13,664 ","$29,125 ","$24,766 "
Topanga,Los Angeles,8923,466.5,"$62,434 ","$115,518 ","$125,946 "
Topaz,Mono,123,40.1,"$12,633 ",[7],[7]
Toro Canyon,Santa Barbara,1476,412.5,"$57,476 ","$72,500 ","$103,056 "
Torrance,Los Angeles,147181,7187.3,"$36,876 ","$78,286 ","$94,077 "
Tracy,San Joaquin,84573,3748.5,"$26,121 ","$74,748 ","$80,439 "
Tranquillity,Fresno,897,1453.8,"$11,432 ","$24,919 ","$26,528 "
Traver,Tulare,910,1079.5,"$12,035 ","$38,359 ","$31,563 "
